kello,onntyyppi,lkmpp,lkmjk,lkmmuukulk,lkmhapa,lkmlaka,lkmmo,lkmmp,x,vvonn,kkonn,vakav,y
20.00-20.59,8,0,0,0,1,0,0,0,391460.06,2019,6,2,6676073.72
16.00-16.59,3,0,0,0,1,0,0,1,392049.39,2019,8,2,6675949.5
12.00-12.59,8,0,0,0,2,0,0,0,391755.01,2019,9,1,6675709.94
04.00-04.59,8,0,0,0,1,0,0,0,392019.45,2019,1,2,6678793.44
14.00-14.59,8,0,0,0,1,0,0,0,390903.09,2019,6,2,6677776.89
08.00-08.59,4,1,0,0,1,0,0,0,391234.34,2019,11,2,6678989.38
16.00-16.59,3,0,0,0,2,0,0,0,391244.57,2019,4,2,6674808.8
18.00-18.59,9,0,0,0,2,0,0,0,392224.51,2019,11,2,6674843.52
17.00-17.59,4,0,0,0,2,0,0,0,390961.18,2019,2,2,6674847.09
08.00-08.59,0,0,0,0,1,0,1,0,392106.76,2019,9,2,6674891.41
07.00-07.59,1,1,0,0,1,0,0,0,391787.49,2019,7,2,6675405.2
14.00-14.59,3,1,0,0,1,0,0,0,390868.7,2019,6,2,6675200.97
11.00-11.59,1,0,0,0,1,1,0,0,391301.54,2019,5,2,6675216.78
21.00-21.59,2,0,0,0,4,0,0,0,392256.35,2019,7,3,6675086.44
08.00-08.59,6,0,1,0,1,0,0,0,391949.18,2019,11,2,6671640.85
18.00-18.59,8,0,0,0,1,0,0,0,390642.87,2019,10,2,6671946.76
16.00-16.59,5,0,0,0,2,0,0,0,391702.15,2019,2,2,6672551.84
16.00-16.59,5,1,0,0,1,0,0,0,391700.03,2019,3,2,6673520.74
08.00-08.59,2,0,0,0,0,2,0,0,390585.52,2019,2,2,6674110.08
13.00-13.59,4,1,0,0,1,0,0,0,392056.14,2019,8,2,6674643.76
09.00-09.59,0,0,0,0,1,1,0,0,390801.45,2019,7,2,6674659.17
13.00-13.59,4,0,0,0,2,0,0,0,390816.91,2019,2,2,6674681.8
12.00-12.59,6,0,1,0,1,0,0,0,389302.56,2019,12,2,6681184.74
15.00-15.59,0,0,0,0,1,2,0,0,388791.32,2019,7,2,6680067.84
08.00-08.59,2,0,0,0,2,0,0,0,389105.15,2019,7,2,6680224.96
13.00-13.59,4,1,0,0,1,0,0,0,389703.23,2019,12,2,6680897.63
22.00-22.59,8,0,0,0,0,0,0,1,389297.25,2019,6,1,6682658.78
16.00-16.59,7,0,1,0,1,0,0,0,389321.48,2019,6,2,6684217.39
19.00-19.59,1,1,0,0,1,0,0,0,390125.53,2019,5,2,6681211.68
18.00-18.59,1,1,0,0,1,0,0,0,390179.25,2019,8,2,6681300.91
22.00-22.59,2,1,0,0,0,0,1,0,390188.12,2019,6,2,6682681.93
13.00-13.59,8,0,0,0,1,0,0,0,388684.13,2019,8,2,6677777.71
11.00-11.59,1,0,0,0,1,0,1,0,388823.43,2019,9,2,6677836.17
16.00-16.59,0,0,0,0,2,0,0,0,388642.7,2019,9,2,6677963.7
16.00-16.59,0,0,0,0,5,0,0,0,389236.42,2019,12,2,6678376.21
16.00-16.59,8,0,0,0,1,0,0,0,389930.47,2019,1,2,6678059.84
09.00-09.59,8,0,0,0,1,0,0,0,389086.29,2019,1,3,6678258.83
14.00-14.59,1,1,0,0,1,0,0,0,390202.58,2019,5,2,6679021.71
19.00-19.59,3,0,0,0,2,0,0,0,389090.52,2019,12,2,6680056.43
16.00-16.59,1,1,0,0,1,0,0,0,387863.2,2019,8,2,6682703.2
09.00-09.59,8,0,0,0,1,0,0,0,387697.15,2019,7,2,6683233.55
18.00-18.59,4,1,0,0,1,0,0,0,387734.05,2019,8,2,6683665.89
18.00-18.59,0,0,0,0,3,0,0,0,388087.17,2019,1,2,6683766.57
12.00-12.59,6,0,1,0,1,0,0,0,387755.43,2019,11,2,6683968.96
00.00-00.59,4,0,0,0,2,0,0,0,387957.87,2019,8,2,6684588.2
20.00-20.59,1,2,0,0,0,0,0,0,388159.97,2019,11,2,6684554.05
10.00-10.59,0,0,0,0,2,0,0,0,387882.46,2019,3,2,6684632.11
08.00-08.59,9,0,0,0,2,0,0,0,387444.35,2019,12,3,6678997.92
15.00-15.59,0,0,0,0,3,0,0,0,387769.29,2019,10,2,6680226.13
14.00-14.59,1,0,0,0,1,0,1,0,388126.7,2019,5,3,6680243.49
00.00-00.59,7,0,1,0,0,1,0,0,387232.19,2019,9,2,6681164.22
17.00-17.59,0,0,0,0,1,1,0,0,387341.25,2019,5,2,6682222.1
16.00-16.59,0,0,0,0,4,2,0,0,387166.71,2019,11,2,6680377.4
17.00-17.59,0,0,0,0,4,1,0,0,387212.5,2019,4,2,6682065.54
16.00-16.59,0,0,0,0,2,0,0,0,388401.92,2019,6,2,6682570.48
11.00-11.59,1,1,0,0,1,0,0,0,387406.03,2019,9,2,6675270.6
15.00-15.59,0,0,0,0,2,0,0,0,387184.68,2019,2,2,6675720.99
08.00-08.59,4,1,0,0,1,0,0,0,387660.8,2019,4,2,6675932.29
13.00-13.59,0,0,0,0,1,0,1,0,387998.53,2019,9,2,6676405.93
08.00-08.59,0,0,0,0,3,0,0,0,387843.96,2019,11,2,6676479.49
14.00-14.59,9,0,0,1,1,0,0,0,388575.13,2019,8,2,6677529.15
15.00-15.59,0,0,0,0,3,0,0,0,388547.16,2019,3,2,6677568.25
12.00-12.59,6,0,1,0,1,0,0,0,387426.29,2019,3,2,6678875.68
16.00-16.59,2,2,0,0,0,0,0,0,386766.97,2019,4,2,6678010.14
14.00-14.59,1,0,0,0,0,2,0,0,385456.34,2019,11,2,6679232.2
14.00-14.59,4,1,0,0,1,0,0,0,385333,2019,6,3,6679608.57
16.00-16.59,0,0,0,0,1,0,0,1,386328.53,2019,4,2,6680347.65
09.00-09.59,0,0,0,0,1,1,0,0,385880.02,2019,8,2,6680137.88
04.00-04.59,8,0,0,0,1,0,0,0,386349.82,2019,7,2,6680424.43
12.00-12.59,0,0,0,0,1,1,0,0,386667.1,2019,7,2,6680436.15
14.00-14.59,8,0,0,0,1,0,0,0,386493.56,2019,11,2,6680546.28
07.00-07.59,6,0,1,0,1,0,0,0,386312.82,2019,12,2,6676741.91
15.00-15.59,0,0,0,0,1,1,0,0,386013.15,2019,2,2,6677023.71
07.00-07.59,6,0,1,0,1,0,0,0,386882.67,2019,12,2,6677063.6
10.00-10.59,9,0,1,0,1,0,0,0,386857.62,2019,6,2,6677203.13
07.00-07.59,1,1,0,0,1,0,0,0,385631.14,2019,5,2,6677781.07
15.00-15.59,0,0,0,0,3,0,0,0,385809.55,2019,7,2,6677820.5
07.00-07.59,1,1,0,0,1,0,0,0,386316.5,2019,4,2,6677975.38
16.00-16.59,1,0,0,0,2,0,0,0,386072.16,2019,3,2,6677871.92
01.00-01.59,8,0,0,0,1,0,0,0,387018.44,2019,10,2,6675345.28
22.00-22.59,0,0,0,0,2,0,0,0,385448.33,2019,12,2,6675611.92
14.00-14.59,0,0,0,0,2,0,0,0,386291.39,2019,9,2,6675230.3
18.00-18.59,4,1,0,0,0,0,0,1,385489.85,2019,9,2,6675461.48
11.00-11.59,0,0,0,0,2,1,0,0,386427.31,2019,6,2,6676610.28
16.00-16.59,1,1,0,0,1,0,0,0,386137.67,2019,6,2,6676436.77
16.00-16.59,8,0,0,0,1,0,0,0,386121.03,2019,5,2,6675789.64
15.00-15.59,0,0,0,0,2,0,0,0,386070.76,2019,5,2,6676405.88
11.00-11.59,2,0,0,0,3,0,0,0,387878.61,2019,11,2,6674573.64
10.00-10.59,5,1,0,0,1,0,0,0,387349.23,2019,6,2,6674208.13
01.00-01.59,8,0,0,0,4,0,0,0,387455.44,2019,5,2,6674283
15.00-15.59,3,1,0,0,1,0,0,0,388039.8,2019,9,2,6674726.51
17.00-17.59,0,0,0,0,2,0,0,0,390050.99,2019,10,2,6674269.69
14.00-14.59,1,1,0,0,1,0,0,0,387349.72,2019,10,2,6674209.38
18.00-18.59,4,0,0,0,3,0,0,0,387090.09,2019,5,2,6674221.53
16.00-16.59,0,0,0,0,4,0,0,0,387088.92,2019,5,2,6674841.58
13.00-13.59,7,0,1,0,0,1,0,0,387055.85,2019,5,2,6674911.97
